BSC;SITENAME;BCF;TRE_NAME;FE_NUM;ODU_NAME;ODU_RX_MAX;ODU_RX_MIN;ODU_RX_CURRENT;ODU_RX_AVERAGE;ODU_CURRENT_TX_POWER;ODU_ALCQ;ODU_TX_FREQUENCY
DNEB1;DN9001;514;bsc224371_bsf514_4080;2;DN9001>DN0119;-28.47 dBm;-120.00 dBm;-37.8 dBm;-37.11 dBm;20;Off;14473000 (kHz)
DNEB1;DN0187;241;bsc224371_bcf241_4080;4;DN0187>DN0239;;;-40.0 dBm;;5;Off;23058000 (kHz)
DNEB1;DN0187;241;bsc224371_bcf241_4080;2;DN0187>DN0053;;;-42.5 dBm;;5;Off;23058000 (kHz)
DNEB1;DN0063;37;bsc224371_bcf37_4080;2;DN0063>DN0056;;;-31.8 dBm;;8;Off;22151500 (kHz)
DNEB1;DN0232;4;bsc224371_bcf4_4080;2;DN0232>DN0053;;;-40.2 dBm;;8;Off;23019500 (kHz)
DNEB1;DN0127;217;bsc224371_bcf217_4080;4;DN0127>DN0257;-33.90 dBm;-120.00 dBm;-35.5 dBm;-35.36 dBm;8;Off;23114000 (kHz)
DNEB1;DN0127;217;bsc224371_bcf217_4080;2;DN0127>DN0136;-37.37 dBm;-120.00 dBm;-42.3 dBm;-47.75 dBm;13;Off;23065000 (kHz)
DNEB1;DN0097;104;bsc224371_bcf104_4080;2;DN0097>DN0119;-39.75 dBm;-120.00 dBm;-41.5 dBm;-41.14 dBm;12;Off;22029000 (kHz)
DNEB1;DN0239;57;bsc224371_bsf57_4080;2;DN0239>DN0187;;;-40.0 dBm;;5;Off;22050000 (kHz)
DNEB1;DN0080;79;bsc224371_bcf79_4080;3;DN0080>DN0191;-31.34 dBm;-120.00 dBm;-39.1 dBm;-46.22 dBm;12;Off;23358996 (kHz)
DNEB1;DN0080;79;bsc224371_bcf79_4080;2;DN0080>DN0058;;;-41.8 dBm;;10;Off;23141997 (kHz)
DNEB1;DN0099;109;bsc224371_bcf109_4080;2;DN0099>DN0064;;;-44.0 dBm;;10;Off;23152500 (kHz)
DNEB1;DN0064;43;bsc224371_bcf43_3;5;DN0064>DN0233;;;-42.3 dBm;;18;Off;22085000 (kHz)
DNEB1;DN0064;43;bsc224371_bcf43_4080;3;DN0064>DN0121;;;-41.0 dBm;;18;Off;22186500 (kHz)
DNEB1;DN0064;43;bsc224371_bcf43_4080;7;DN0064>DNI901;;;-42.0 dBm;;13;Off;22158499 (kHz)
DNEB1;DN0064;43;bsc224371_bcf43_4080;9;DN0064>DN0259;-33.93 dBm;-120.00 dBm;-45.3 dBm;-43.41 dBm;20;Off;14431000 (kHz)
DNEB1;DN0064;43;bsc224371_bcf43_4080;2;DN0064>DN0189;;;-36.5 dBm;;18;Off;22127000 (kHz)
DNEB1;DN0064;43;bsc224371_bcf43_4080;5;DN0064>DN0099;;;-43.3 dBm;;10;Off;22144500 (kHz)
DNEB1;DN0270;19;bsc224371_bsf19_4080;2;DN0270>DN0135;-38.11 dBm;-120.00 dBm;-40.9 dBm;-40.01 dBm;8;Off;23086000 (kHz)
DNEB1;DN0135;223;bsc224371_bsf223_2;4;DN0135>DN0053;-41.43 dBm;-120.00 dBm;-46.7 dBm;-45.14 dBm;9;Off;23058000 (kHz)
DNEB1;DN0135;223;bsc224371_bcf223_4080;4;DN0135>DN0270;;;-39.7 dBm;;8;Off;22078000 (kHz)
DNEB1;DN0056;25;bsc224371_bcf25_4080;6;DN0056>DN0185;-37.38 dBm;-120.00 dBm;-38.9 dBm;-38.99 dBm;10;Off;23058000 (kHz)
DNEB1;DN0056;25;bsc224371_bcf25_4080;3;DN0056>DN0063;-33.99 dBm;-120.00 dBm;-35.5 dBm;-35.11 dBm;8;Off;23159500 (kHz)
DNEB1;DN0056;25;bsc224371_bcf25_4080;2;DN0056>DN0188;-38.21 dBm;-120.00 dBm;-39.7 dBm;-39.32 dBm;3;Off;23208500 (kHz)
